trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'e': 0.16979776282246956, 'a': 0.2}",25,10,-13.625293550505603,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
138,False,"{'e': 0.16477948053759456, 'a': 0.2}",30,19,21.122146892402796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.15990951090815197, 'a': 0.2}",30,0,35.06444355774553,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'e': 0.15518347063274252, 'a': 0.2}",25,15,-1.9760871306912813,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'e': 0.15059710595610107, 'a': 0.2}",30,0,-22.34775362812138,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
142,False,"{'e': 0.14614628884042971, 'a': 0.2}",20,6,15.65682168491537,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.1418270132498852, 'a': 0.2}",20,6,24.709818123911678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.13763539154487617, 'a': 0.2}",20,11,12.511004017332262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.1335676509829252, 'a': 0.2}",30,13,21.5234353570845,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.12962013032294578, 'a': 0.2}",30,6,39.33078867086471,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.12578927652987826, 'a': 0.2}",30,3,41.952974756343075,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.12207164157671856, 'a': 0.2}",20,0,-49.10942223675632,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
149,False,"{'e': 0.11846387934106088, 'a': 0.2}",20,0,21.373468400649053,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'e': 0.11496274259336192, 'a': 0.2}",20,2,-44.23062022552683,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
